Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color Variants (product.metafields.custom.color_variants),Product Information (product.metafields.custom.product_information),Board game mechanics (product.metafields.shopify.board-game-mechanics),Color (product.metafields.shopify.color-pattern),Dexterity skills (product.metafields.shopify.dexterity-skills),Game features (product.metafields.shopify.game-features),Gameplay skills (product.metafields.shopify.gameplay-skills),Recommended age group (product.metafields.shopify.recommended-age-group),Stationery binding type (product.metafields.shopify.stationery-binding-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
cheese-tools-large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_essentials_largecheese_4.jpg?v=1771837692,5,,,,,,,,,,,,,,,,,,,,,,,
life,Life,"<p>Discover our ‘Life’ Photo Album in soft beige with minimalist white lettering. A timeless design that reminds us it’s the smallest moments that shape the biggest memories. <br><br>This landscape-format album holds 30 pages of premium white photo paper measuring 21x28 cm <span>(60 pages if used double-sided), ready for your memories. Easily attach your photos with our </span><a href=""https://printworksmarket.com/products/photo-album-photo-stickers"">stickers</a><span> or </span><a href=""https://printworksmarket.com/collections/photo-album-accessories/products/photo-album-photo-corners"">corners.</a><br><br>A refined piece to collect your favourite memories, perfectly placed on your coffee table.</p>",Printworks,Photo Album,Photo Album,"medium-bag, SS26, YGroup_PhotoAlbums",true,Title,Default Title,,,,,,,,PW00800,1200,shopify,deny,manual,55,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-album_landscape_life.jpg?v=1767875865,1,,false,,,,"Vendor: Printworks
Type: Photo Album
Weight: 1200g",,,,,,,,,,,,,,kg,,,active
life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_photo-album_landscape-life.jpg?v=1767875865,2,,,,,,,,,,,,,,,,,,,,,,,
life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-album_landscape-life-3.jpg?v=1767875865,3,,,,,,,,,,,,,,,,,,,,,,,
life,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_photo-album_landscape-life-2.jpg?v=1767875865,4,,,,,,,,,,,,,,,,,,,,,,,
the-new-look,The New Look,"<p><span lang=""EN-US"">Jewelry Boxes, a refined collection designed to elevate everyday storage. With refined cloth covers, soft sponge padding, and thoughtful compartments, they blend function with statement-worthy design. Available in distinct colors, expressions, and statements, each piece is created to reflect your personal style and find its place on display.</span><br><br>Modern and striking, The New Look stands out in deep blue linen with bold black typography. Inside, a contrasting light blue velvet interior offers generous space for your full jewelry collection - from statement pieces to everyday favorites. A contemporary classic that merges sleek design with refined functionality, perfect for the style-conscious collector.</p>",Printworks,Jewelry Box,Jewelry Box,"small-bag, SS26, YGroup_JewelryBox",true,Title,Default Title,,,,,,,,PW00811,450,shopify,deny,manual,59,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_jewelrybox_the-new-look_4.jpg?v=1767111964,1,,false,,,,"Vendor: Printworks
Type: Jewelry Box
Weight: 450g",,,,,,,,,,,,,,kg,,,active
the-new-look,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_jewelrybox_the-new-look_2.jpg?v=1767111965,2,,,,,,,,,,,,,,,,,,,,,,,
the-new-look,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_jewelrybox_the-new-look_2.jpg?v=1767111965,3,,,,,,,,,,,,,,,,,,,,,,,
the-new-look,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_jewelrybox_the-new-look_3.jpg?v=1767111964,4,,,,,,,,,,,,,,,,,,,,,,,
the-new-look,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_mood_jewelrybox_the-new-look_1.jpg?v=1767111965,5,,,,,,,,,,,,,,,,,,,,,,,
the-new-look,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_jewelrybox_the-new-look_1.jpg?v=1767111965,6,,,,,,,,,,,,,,,,,,,,,,,
